clorosis	planta	fondo
"153,97,40"	"81,92,32"	"173,172,167"
"151,95,38"	"79,90,30"	"174,173,168"
"149,92,37"	"82,93,35"	"171,170,165"
"150,93,38"	"81,92,34"	"175,174,169"
"147,90,35"	"84,95,37"	"160,162,161"
"148,91,36"	"83,94,36"	"161,163,162"
"148,88,36"	"80,91,33"	"162,164,163"
"148,88,38"	"79,90,32"	"172,171,166"
"144,82,35"	"80,91,31"	"170,169,164"
"138,75,31"	"77,88,30"	"159,161,160"
"135,70,30"	"71,84,28"	"163,165,164"
"127,63,27"	"69,82,26"	"163,163,163"
"118,53,21"	"69,82,28"	"162,162,162"
"116,51,23"	"52,69,17"	"176,175,170"
"109,45,18"	"53,70,18"	"165,165,165"
"108,44,17"	"54,71,19"	"177,176,171"
"110,46,19"	"53,71,19"	"161,161,161"
"106,45,17"	"52,70,18"	"178,177,172"
"110,49,21"	"52,71,16"	"179,178,173"
"111,51,23"	"54,73,18"	"180,179,174"
"156,100,41"	"60,77,23"	"181,180,175"
"156,100,39"	"59,76,22"	"182,181,176"
"157,101,40"	"61,78,24"	"164,164,164"
"159,100,40"	"58,75,21"	"184,183,178"
"155,99,38"	"57,74,20"	"186,185,180"
"160,101,41"	"55,72,20"	"185,184,179"
"154,100,38"	"65,80,25"	"187,186,181"
"154,98,41"	"78,89,29"	"182,181,177"
"151,94,39"	"85,96,38"	"183,182,178"
"150,90,38"	"78,89,31"	"184,183,179"
"145,83,34"	"73,86,30"	"183,182,177"
"139,76,32"	"70,83,27"	"180,179,175"
"134,69,29"	"67,80,26"	"176,175,171"
"127,61,26"	"48,65,13"	"174,173,169"
"124,59,27"	"56,73,21"	"173,172,168"
"120,55,25"	"51,69,17"	"172,171,167"
"113,49,21"	"53,72,17"	"166,166,166"
"109,45,17"	"56,73,19"	"169,168,164"
"110,46,18"	"68,81,27"	"168,167,163"
"112,48,21"	"47,65,13"	"170,169,165"
"114,53,25"	"49,67,15"	"168,167,162"
"157,101,42"	"54,72,20"	"167,166,161"
"158,99,39"	"57,74,22"	"169,168,163"
"155,99,40"	"58,75,23"	"163,163,161"
"155,99,42"	"59,78,23"	"161,161,159"
"152,95,40"	"58,77,22"	"162,162,160"
"150,90,36"	"56,75,19"	"166,167,162"
"149,89,37"	"55,74,19"	"167,168,163"
"142,80,33"	"62,77,22"	"168,169,163"
"139,74,32"	"64,79,24"	"166,167,161"
"125,61,25"	"63,80,25"	"167,168,162"
"120,55,23"	"74,87,31"	"169,170,164"
"114,49,17"	"66,79,25"	"168,169,164"
"109,44,14"	"56,75,20"	"164,165,160"
"109,46,15"	"54,73,17"	"164,164,162"
"114,51,20"	"54,75,19"	"166,166,164"
"117,56,25"	"65,82,27"	"165,166,161"
"156,101,37"	"83,94,34"	"165,165,163"
"157,102,38"	"82,93,33"	
"158,102,41"	"75,89,30"	
"153,96,41"	"72,86,27"	
"151,91,37"	"67,80,24"	
"147,85,34"	"50,68,16"	
"143,81,32"	"58,76,24"	
"140,76,32"	"57,76,21"	
"136,71,29"	"62,76,23"	
"128,64,26"	"63,77,24"	
"122,58,23"	"84,95,35"	
"116,52,17"	"74,88,29"	
"110,45,13"	"73,87,28"	
"109,44,12"	"55,73,21"	
"116,51,19"	"57,75,23"	
"120,57,26"	"56,74,22"	
"156,102,42"	"81,93,31"	
"157,103,43"	"76,87,29"	
"154,98,37"	"50,68,18"	
"159,103,46"	"52,70,20"	
"156,99,44"	"62,79,25"	
"154,97,42"	"63,80,26"	
"149,93,36"	"77,88,28"	
"150,94,37"	"75,86,28"	
"153,93,39"	"51,68,16"	
"151,90,36"	"53,71,21"	
"148,86,35"	"51,69,19"	
"144,80,34"	"60,79,24"	
"141,77,33"	"76,87,27"	
"128,63,25"	"50,69,14"	
"120,56,18"	"51,70,15"	
"116,52,16"	"59,76,24"	
"117,51,16"	"60,77,25"	
"114,50,15"	"77,87,27"	
"120,56,21"	"85,96,36"	
"122,59,24"	"53,70,16"	
"158,102,43"	"50,67,13"	
"159,103,42"	"76,86,26"	
"157,101,44"	"55,72,18"	
"155,98,43"	"54,71,17"	
"152,96,39"	"70,84,25"	
"154,94,40"	"78,88,28"	
"153,91,40"	"75,85,25"	
"147,83,35"	"75,86,26"	
"143,79,35"	"69,83,24"	
"132,67,27"	"79,89,29"	
"124,61,20"	"68,82,23"	
"122,58,20"	"55,71,22"	
"124,59,21"	"56,72,23"	
"121,55,20"	"59,77,25"	
"124,60,24"	"56,76,23"	
"126,62,27"	"67,81,22"	
"156,100,43"	"71,85,26"	
"149,93,34"	"53,69,20"	
"152,92,38"	"61,79,27"	
"154,92,41"	"60,78,26"	
"149,85,37"	"61,78,26"	
"145,81,35"	"66,80,21"	
"135,70,28"	"59,73,22"	
"130,65,23"	"55,69,18"	
"128,63,23"	"61,75,24"	
"129,64,24"	"58,72,21"	
"126,61,21"	"61,80,25"	
"127,62,24"	"62,81,26"	
"129,65,27"		
"153,98,41"		
"154,99,42"		
"156,101,44"		
"145,81,33"		
"143,79,33"		
"138,74,30"		
"135,71,27"		
"133,69,25"		
"134,70,26"		
"130,65,25"		
"133,68,28"		
"155,100,43"		
"155,95,41"		
"143,79,31"		
"140,76,28"		
"137,70,25"		
"138,71,26"		
"140,73,28"		
"135,68,23"		
"136,72,28"		
"138,73,31"		
"152,97,41"		
"153,98,42"		
"155,100,44"		
"160,104,43"		
"161,102,42"		
"148,87,33"		
"144,81,30"		
"142,79,28"		
"138,72,24"		
"142,76,28"		
"141,75,27"		
"138,74,28"		
"139,75,31"		
"153,98,44"		
"154,99,45"		
"154,99,43"		
"149,89,35"		
"144,78,28"		
"145,79,29"		
"144,78,30"		
"149,96,42"		
"159,103,44"		
"161,105,44"		
"158,101,46"		
"157,100,45"		
"150,89,35"		
"151,88,37"		
"147,84,33"		
"150,84,34"		
"147,81,31"		
"146,80,30"		
"146,93,41"		
"150,94,43"		
"151,96,42"		
"159,102,47"		
"149,88,34"		
"149,86,33"		
"151,85,33"		
"147,81,29"		
"148,82,32"		
"146,83,32"		
"144,91,41"		
"147,91,40"		
"146,91,37"		
"149,94,38"		
"151,96,39"		
"162,106,45"		
"158,102,45"		
"152,91,37"		
"152,89,36"		
"150,87,34"		
"150,84,32"		
"148,82,30"		
"142,88,41"		
"147,91,42"		
"148,92,41"		
"151,88,35"		
"147,84,31"		
"148,85,32"		
"146,83,30"		
"143,89,42"		
"145,89,42"		
"145,89,40"		
"152,95,42"		
"156,96,42"		
"140,86,40"		
"142,85,40"		
"143,87,40"		
"147,91,44"		
"151,93,43"		
"155,98,45"		
"149,87,36"		
"141,87,43"		
"141,84,41"		
"141,84,39"		
"145,88,43"		
"149,91,43"		
"150,92,42"		
"153,96,43"		
"162,103,43"		
"163,104,44"		
"150,88,37"		
"140,86,42"		
"139,82,39"		
"143,86,41"		
"147,89,43"		
"150,92,44"		
"153,95,45"		
"161,102,44"		
"162,103,45"		
"163,104,46"		
"157,97,43"		
"151,89,38"		
"147,86,32"		
"142,85,42"		
"140,83,38"		
"144,88,41"		
"146,90,41"		
"152,94,44"		
"143,86,43"		
"139,82,37"		
"144,87,42"		
"154,97,44"		
"162,103,47"		
"165,106,50"		
"158,98,44"		
"151,90,35"		
"152,91,36"		
"139,85,41"		
"137,83,37"		
"140,84,37"		
"143,87,38"		
"146,90,39"		
"150,95,41"		
"150,95,39"		
